dataset,split,label,image_path,mask_path
REFUGE,training,unknown,../data/raw\refuge\training\images\g0001.jpg,../data/raw\refuge\training\mask\g0001.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0002.jpg,../data/raw\refuge\training\mask\g0002.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0003.jpg,../data/raw\refuge\training\mask\g0003.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0004.jpg,../data/raw\refuge\training\mask\g0004.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0005.jpg,../data/raw\refuge\training\mask\g0005.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0006.jpg,../data/raw\refuge\training\mask\g0006.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0007.jpg,../data/raw\refuge\training\mask\g0007.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0008.jpg,../data/raw\refuge\training\mask\g0008.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0009.jpg,../data/raw\refuge\training\mask\g0009.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0010.jpg,../data/raw\refuge\training\mask\g0010.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0011.jpg,../data/raw\refuge\training\mask\g0011.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0012.jpg,../data/raw\refuge\training\mask\g0012.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0013.jpg,../data/raw\refuge\training\mask\g0013.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0014.jpg,../data/raw\refuge\training\mask\g0014.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0015.jpg,../data/raw\refuge\training\mask\g0015.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0016.jpg,../data/raw\refuge\training\mask\g0016.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0017.jpg,../data/raw\refuge\training\mask\g0017.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0018.jpg,../data/raw\refuge\training\mask\g0018.jpg
REFUGE,training,unknown,../data/raw\refuge\training\images\g0019.jpg,../data/raw\refuge\training\mask\g0019.jpg
